category,file,frames_processed,frames_with_pose,detection_rate,error
pull_up,arc2_pull_up_12.mp4,195,193,98.97,
pull_up,arc2_pull_up_13.mp4,402,402,100.0,
pull_up,arc2_pull_up_14.mp4,202,202,100.0,
pull_up,arc2_pull_up_15.mp4,165,163,98.79,
pull_up,arc2_pull_up_16.mp4,58,52,89.66,
pull_up,arc2_pull_up_17.mp4,75,75,100.0,
pull_up,arc2_pull_up_18.mp4,86,86,100.0,
pull_up,arc2_pull_up_19.mp4,46,40,86.96,
pull_up,arc2_pull_up_2.mp4,434,433,99.77,
pull_up,arc2_pull_up_20.mp4,243,242,99.59,
pull_up,arc2_pull_up_21.mp4,255,255,100.0,
pull_up,arc2_pull_up_22.mp4,210,209,99.52,
pull_up,arc2_pull_up_23.mp4,126,126,100.0,
pull_up,arc2_pull_up_24.mp4,93,93,100.0,
pull_up,arc2_pull_up_25.mp4,81,81,100.0,
pull_up,arc2_pull_up_4.mp4,575,575,100.0,
pull_up,arc2_pull_up_5.mp4,145,140,96.55,
pull_up,arc2_pull_up_6.mp4,308,308,100.0,
pull_up,arc2_pull_up_7.mp4,270,270,100.0,
pull_up,arc2_pull_up_8.mp4,140,140,100.0,
pull_up,arc2_pull_up_9.mp4,365,365,100.0,
push-up,arc1_final_kaggle_with_additional_video_push-up_1.mp4,150,149,99.33,
push-up,arc1_final_kaggle_with_additional_video_push-up_10.mp4,150,148,98.67,
